Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/03  13:00:00,1.89166666666667,59.6666666666667,13.8942420044032,13.1212289742589,0.636532278521722,0.353938308336151,0.54896263001747,,,,,46.698119233214,,,,,90.4581574057666,,32.4991481693101,,34.8213351732557,5.051196622726297E-002,4.590909698662336E-002,5.053692975872814E-002 
 01/03  14:00:00,2.1,57.5166666666667,13.5413691928958,13.0810548708882,0.35373248019666,0.304389255313898,0.460175900477701,,,,,46.7070101307931,,,,,71.4522698712534,,32.545176399591,,33.9890076223329,5.005500178156475E-002,4.531726234726440E-002,4.999389948088469E-002 
 01/03  15:00:00,1.75,57.15,13.07620393361,12.710941800161,0.339137815727362,0.284797628309305,0.447725232514257,,,,,45.4966453969024,,,,,52.7080432155582,,32.7787332628235,,34.3061051704885,4.900654967341045E-002,4.514407392461298E-002,4.965973171811255E-002 
 01/03  16:00:00,1.26666666666667,61.4,12.669765599047,12.3704466708515,0.328429996121159,0.317919964429752,0.468246011739992,,,,,44.8327442484777,,,,,44.0891001656507,,33.3171870379305,,34.3651262560821,4.832497253830611E-002,4.483258740584359E-002,4.937539342926562E-002 
 01/03  17:00:00,0.925,64.6,12.2941571097254,12.0885573737335,0.316057748549836,0.361984808377136,0.493266872764069,,,,,43.9991978102905,,,,,41.5575446261604,,33.4537698696412,,34.4717636494414,4.794029853834045E-002,4.518094324531633E-002,4.926543998651503E-002 
 01/03  18:00:00,0.625,68.8916666666667,15.1842841204568,15.5244681122361,0.431445260736304,0.233829561338601,0.461323020973377,,,,,34.1328231893971,,,,,29.1430555473049,,24.6652074720816,,24.7283962421451,4.839571889922878E-002,4.507478885054949E-002,4.922201439251043E-002 
 01/03  19:00:00,0.325,69.15,17.0105971784022,17.1592557945681,0.818539081906467,0.269978522024273,0.566408261400308,,,,,32.6470661982705,,,,,82.8899332164613,,22.0412756132806,,23.2236022659654,5.107980774416049E-002,4.501374139168448E-002,5.023771369171367E-002 
 01/03  20:00:00,-0.441666666666667,73.9916666666667,18.030560690998,17.6315227279025,0.57487564518787,0.179941767060613,0.460287585865476,,,,,34.3720572185422,,,,,33.9282095170881,,22.4795337077203,,24.2936394395073,5.079062259006217E-002,4.553662332440981E-002,5.038186572982897E-002 
 01/03  21:00:00,-1.13333333333333,76.95,18.781355998013,18.4906410084397,0.570230889095605,0.291278704740694,0.544715798215797,,,,,33.4033643932883,,,,,45.060644752924,,22.8531602655282,,24.0003769648332,5.168168908280893E-002,4.639969216593248E-002,5.059016570664394E-002 
 01/03  22:00:00,-1.65,80.075,16.2735198342049,15.5956007260126,0.504040069772114,0.29121151510693,0.520714006175646,,,,,41.7450242913483,,,,,62.9111649224461,,29.5632434974414,,32.3229341198511,5.172464077555353E-002,4.691527969642537E-002,5.072841207653866E-002 
 01/03  23:00:00,-2.13333333333333,84.075,15.2018644470536,13.7757236434793,0.640114419851225,0.176997479429658,0.453729568531616,,,,,42.1622069002686,,,,,50.9291462245746,,32.2075175123781,,35.5442214783685,5.185304596400769E-002,4.661095443096715E-002,5.071805331186274E-002 
 01/03  24:00:00,-2.475,85.6333333333333,14.6276653049226,12.995313884531,0.624277084027735,0.145604524168178,0.409642443962909,,,,,42.0554889447863,,,,,40.8916683439186,,32.7260895903264,,35.0053132326002,5.205040787929092E-002,4.659350289626096E-002,5.073634747364544E-002 
 01/04  01:00:00,-2.54166666666667,83.9666666666667,14.191530581109,12.4563108402748,0.628463167275467,0.147984083042148,0.410482912073569,,,,,41.4183322030121,,,,,37.9621635266839,,32.2995920943202,,34.0252857646241,5.185833210381172E-002,4.642930586512917E-002,5.072902030950599E-002 
 01/04  02:00:00,-2.26666666666667,77.575,13.7633807642012,11.9939747447463,0.675684696903904,0.25100181705551,0.458690096101806,,,,,39.7355881107848,,,,,36.7151273371971,,31.3479193066564,,33.1922141404123,5.187160364749846E-002,4.690204013015064E-002,5.064217978460830E-002 
 01/04  03:00:00,-2.275,76.3583333333333,13.3190003284805,11.5488610562753,0.541761065334817,0.441439628182764,0.544627343880851,,,,,37.6011412631229,,,,,35.8166675906856,,30.1127482292605,,32.6657716409214,5.132092653287007E-002,4.814909672642279E-002,5.055970806544614E-002 
 01/04  04:00:00,-2.4,79.1833333333333,12.8679403895181,11.0494988165268,0.308418931597381,0.779886403138235,0.801011350269299,,,,,37.2513966302678,,,,,36.1685972993893,,29.7356319778273,,32.9200623161735,4.959623004122534E-002,4.911588938976556E-002,5.079069511901282E-002 
 01/04  05:00:00,-2.28333333333333,79.05,12.456106014671,10.6063632240262,0.296713727895857,0.747133057335921,0.781287615493143,,,,,37.1383540657394,,,,,37.1377487837594,,29.878456338439,,33.3717896538029,4.882717357834082E-002,5.017092606820340E-002,5.117600851293963E-002 
