Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 03/31  02:00:00,5.41666666666667,90.5833333333333,18.2494042877999,16.4998305166647,0.683798733932233,0.0,0.104429644683169,,,48.8926321112618,,,42.4234118704669,,48.9610674579321,,,,,,47.2098827257949,5.173184459725440E-002,4.297138424012011E-002,4.480830483295275E-002 
 03/31  03:00:00,5.5,93.3333333333333,18.2451980757003,16.3573721831229,0.639678184814597,0.0,0.115901299346675,,,48.9047719314293,,,41.5377528809096,,49.0230492035351,,,,,,46.5497121246342,5.137260644873367E-002,4.243164747008124E-002,4.458850915021783E-002 
 03/31  04:00:00,5.38333333333333,92.0833333333333,18.2338670898831,16.2332733634584,0.593116639057169,0.0,0.115325313114202,,,49.6276388247847,,,41.0173271412179,,49.2855236596688,,,,,,46.7035491123893,5.093530846868671E-002,4.172638232338577E-002,4.431582528280489E-002 
 03/31  05:00:00,5.59166666666667,89.4166666666667,18.2196104026947,16.1135012313716,0.583317512053384,0.0,0.124185148826943,,,49.1822908163621,,,40.7225776282549,,48.6788873379612,,,,,,46.553069324368,5.059028907515908E-002,4.097760632396671E-002,4.409569568298025E-002 
 03/31  06:00:00,5.975,90.75,18.2110485160462,16.0088360277742,0.558536697140464,0.0,0.128216417973398,,,49.4438219736251,,,40.4365689221792,,48.9246657569755,,,,,,46.5393822655187,5.044546244197218E-002,4.020461772265314E-002,4.400811363450261E-002 
 03/31  07:00:00,5.86666666666667,91.4166666666667,18.1813020998003,15.9595868582016,0.540855135359381,0.0,0.128913247525364,,,50.369190435779,,,40.4772359115822,,49.5681082955284,,,,,,47.0241748370462,5.010464465180916E-002,3.934475469563140E-002,4.370739963185023E-002 
 03/31  08:00:00,5.58333333333333,87.5,18.0161863408727,15.7948544270501,0.748780299363297,0.175335279536763,0.341385019636331,,,67.2960897460628,,,41.0000732171083,,52.075480697904,,,,,,47.5044814497352,4.958226982026922E-002,3.936508128022393E-002,4.514024035166916E-002 
 03/31  09:00:00,6.14166666666667,83.25,17.9641908672655,15.8479672633449,0.423048263042714,0.196853189583783,0.271738000881041,,,60.5593104059309,,,41.777422503779,,50.3233896538705,,,,,,46.4174079076512,4.868877804974071E-002,3.989817410466858E-002,4.512578846305641E-002 
 03/31  10:00:00,6.95,79.6666666666667,18.1704344959778,16.461388275325,0.305213406551763,0.266919862570057,0.289039798483425,,,54.3822848097611,,,41.9213896569463,,50.3925352477725,,,,,,44.5171777170715,4.730019684388021E-002,4.079170254035434E-002,4.474172278531523E-002 
 03/31  11:00:00,7.60833333333333,75.0833333333333,18.2609743332744,17.0839890842505,0.157643398602015,0.394761887787517,0.361752239785716,,,50.9394177870512,,,40.8105221531641,,48.8395950540663,,,,,,43.0845485576102,4.424998173184364E-002,4.170339992199323E-002,4.415874603961730E-002 
 03/31  12:00:00,8.54166666666667,70.0833333333333,18.3575572456301,17.4400005445072,4.312836831161870E-002,0.561688383220499,0.50318290902577,,,48.9625265376698,,,39.5010071683214,,47.5620531756024,,,,,,43.1337902203896,4.061757625672907E-002,4.356520668997407E-002,4.524753028805995E-002 
 03/31  13:00:00,8.825,70.3333333333333,18.6390153051724,17.7226862682219,0.0,0.672744171512721,0.598986555431795,,,47.3149465509943,,,38.2088385887832,,46.1053740141191,,,,,,42.296655585316,4.019229228520464E-002,4.677308276666090E-002,4.745372181051682E-002 
 03/31  14:00:00,8.99166666666667,70.25,18.6227515658383,17.5869570028529,1.123530150031913E-003,0.661230243677047,0.587430169971139,,,46.4706365488951,,,38.092263186263,,45.1201541715732,,,,,,41.7459952400625,3.954083303861012E-002,4.885886277234829E-002,4.888013048070264E-002 
 03/31  15:00:00,9.25833333333333,71.3333333333333,18.5818262973652,17.460444196123,3.611286412712660E-002,0.558454953976109,0.498264957912285,,,46.0552693874004,,,38.2782412588533,,44.6108297458774,,,,,,41.933820519438,3.864915786571842E-002,4.839862220789534E-002,4.863916699233519E-002 
 03/31  16:00:00,9.24166666666667,67.75,18.5361773944116,17.3701517737951,6.607018891430205E-002,0.444344275111626,0.407543672476891,,,44.6232519190169,,,38.5976397356698,,44.459571179515,,,,,,42.3728164993502,3.772079234509045E-002,4.660285339005379E-002,4.748170772119916E-002 
 03/31  17:00:00,9.08333333333333,71.,18.4835639458464,17.3120751570661,0.178214908129848,0.336827555895692,0.312677022737888,,,43.8032751465311,,,38.246303874288,,44.5743898442629,,,,,,41.9148007538996,3.716369264402125E-002,4.437888415076841E-002,4.561829607215805E-002 
 03/31  18:00:00,9.11666666666667,74.8333333333333,18.2963715202142,17.3937300244844,0.295017391911101,0.259518040317576,0.271925127349816,,,45.6064755214702,,,39.2140556026297,,45.476710193822,,,,,,43.3878999893648,3.884372117290695E-002,4.209575699674944E-002,4.380261930832977E-002 
 03/31  19:00:00,9.025,73.4166666666667,18.0917655573616,17.4543881844619,0.669107832857608,0.290960185829334,0.373781436423738,,,67.1641591714528,,,40.1394095726165,,46.6370948619303,,,,,,45.5893785094783,4.415603625109516E-002,4.128913736000673E-002,4.465798608929710E-002 
 03/31  20:00:00,8.08333333333333,78.8333333333333,17.9597062911488,17.5273150169264,0.608673733329356,5.533050407054355E-002,0.192289200028593,,,57.4975654416893,,,41.4224140822071,,47.8582984547014,,,,,,47.5582483731166,4.627978330429480E-002,4.007319799388326E-002,4.490719304523066E-002 
 03/31  21:00:00,7.20833333333333,85.9166666666667,17.8418564291791,17.2086633325347,0.644412746938397,0.0,8.406656110088040E-002,,,58.7781441249742,,,44.2144050349085,,50.4550467580014,,,,,,50.3313030387941,4.900942108200409E-002,3.944684433156850E-002,4.427271662215465E-002 
