Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING:Zone Operative Temperature [C](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/09  10:00:00,-3.25,85.8833333333333,14.0025394725518,12.3369423529953,0.172193285300936,1.86748737806436,0.0,,,,,,,,28.6273337892557,,45.2742606311191,,40.9180492899984,,31.2983750213639,5.280396080765549E-002,5.709320155545419E-002,5.211424356953354E-002 
 01/09  11:00:00,-2.76666666666667,82.3083333333333,15.0644269068387,12.7988516540164,0.161996339262224,1.96164033472575,0.0,,,,,,,,27.0160166569022,,45.0099409882961,,36.0538704325392,,29.4312203329274,5.311003523631780E-002,5.726836414844726E-002,5.271215883843799E-002 
 01/09  12:00:00,-2.30833333333333,79.6166666666667,16.194182618405,13.4562124695508,0.165980546556944,1.92374701334449,0.0,,,,,,,,25.3882781934594,,45.3330074743593,,36.4030037662999,,27.8139063223356,5.332651840358149E-002,5.733550846691985E-002,5.308505819932310E-002 
 01/09  13:00:00,-1.75,77.5583333333333,15.4291941261165,13.3803105166629,0.276944210951604,1.57556619377215,0.0,,,,,,,,26.3777253356811,,47.2905330778433,,90.6194500140447,,27.7458688874671,5.391112684893123E-002,5.681495866489417E-002,5.347706307901837E-002 
 01/09  14:00:00,-1.44166666666667,74.8833333333333,15.4284060193649,13.0471288684155,0.132268456954036,2.05832475572958,0.0,,,,,,,,27.4138023514604,,47.6456099195092,,62.099994823258,,28.9656383642898,5.360746583410172E-002,5.724299242824572E-002,5.349040689101770E-002 
 01/09  15:00:00,-1.45833333333333,73.1833333333333,15.1157806077214,12.5311706332063,0.115670746724562,2.20406160900946,0.0,,,,,,,,29.0700512021523,,46.4428989982446,,37.0937747978269,,30.1377778462772,5.353221406956041E-002,5.767154923459444E-002,5.398528526995414E-002 
 01/09  16:00:00,-1.96666666666667,82.375,14.6100536927657,11.9935913712978,0.130117086784946,2.10607026595524,0.0,,,,,,,,29.2043205815687,,49.0186516245552,,34.9614665998828,,30.7803604796892,5.353586018743686E-002,5.762850824345922E-002,5.398753540543882E-002 
 01/09  17:00:00,-2.18333333333333,90.2833333333333,14.0810745614352,11.4644335602487,0.147324704280933,1.92707968895432,0.0,,,,,,,,30.7315427691388,,53.6785898848337,,37.4463519108408,,32.8981945776676,5.337318971020303E-002,5.738097813763685E-002,5.350100463474997E-002 
 01/09  18:00:00,-1.86666666666667,90.3833333333333,14.5769793770376,11.7068210351365,0.158772364709261,1.84923330845014,0.0,,,,,,,,30.4260967022539,,53.2824089485576,,38.8467913138135,,32.8726228432407,5.320677812985413E-002,5.718641551953713E-002,5.303208960517999E-002 
 01/09  19:00:00,-1.35,82.8,14.692426134959,11.6865682612856,0.267563638511993,1.65544552847686,0.0,,,,,,,,31.5319429860937,,53.8815851017572,,87.3613169814356,,33.9242903522568,5.366991758354427E-002,5.684732813138845E-002,5.337147151271387E-002 
